Treatment,econtrol,eecontrol,eepcontrol,ees,eesun,eeun,evs,evun,pcontrol,schistoun,Trial
z1,2.069,0.451,0.749,-0.565,2.15,0.678,3.321,2.755,3.742,0.421,7.002
z2,1.579,0.189,0.766,-0.379,1.23,0.98,2.72,2.351,2.267,0.007,5.172
z3,1.548,0.383,-1.153,-0.394,3.173,1.542,4.078,3.953,3.186,-1.687,7.301
z4,2.311,-0.612,0.626,-0.496,2.76,1.571,4.05,2.655,2.636,-0.538,6.585
z5,1.347,-0.074,0.999,-0.598,2.273,1.769,2.46,2.299,2.654,0.08,5.763
z6,2.132,-0.109,0.881,0.077,2.302,0.39,4.748,3.285,3.679,0.103,7.261
z7,1.753,1.23,-0.191,0.302,2.754,1.902,2.969,2.389,3.164,-0.418,7.298
z8,1.896,-0.748,0.804,-1.865,2.69,2.347,4.937,3.417,4,-0.454,7.179
z9,1.08,0.12,0.483,-0.699,3.274,1.559,3.348,2.04,3.276,-0.753,6.88
z10,2.107,-0.833,0.753,0.022,2.442,1.855,3.499,2.97,3.18,-0.433,6.845
z11,1.685,-0.591,1.219,-0.133,3.032,3.233,3.843,3.192,3.87,-0.472,7.203
z12,2.001,0.544,0.915,-0.691,4.962,1.599,3.691,3.825,3.962,-0.553,7.294
z13,1.235,-0.055,1.657,-0.487,1.944,1.249,4.376,2.731,3.88,0.753,7.061
z14,1.471,-1.365,0.936,-0.241,3.178,2.125,3.612,2.691,2.213,-0.316,7.084
z15,1.55,-0.166,1.855,-0.852,2.127,1.332,2.987,2.915,3.789,-0.836,7.171
z16,2.313,-0.872,1.57,0.29,4.142,2.408,3.651,3.341,4.463,0.769,7.267
z17,1.384,0.221,1.701,-2.133,2.049,2.265,2.976,2.171,3.452,-0.551,7.245
z18,1.712,0.644,1.867,-0.547,3.557,0.983,3.137,3.362,3.379,-1.065,7
z19,1.326,-0.363,0.252,0.311,2.696,1.175,3.254,3.022,2.537,-0.672,6.791
z20,0.981,-0.897,1.47,-0.647,3.209,1.339,2.504,2.224,3.893,-0.271,7.234
z21,1.531,0.292,0.884,0.02,2.528,2.421,2.801,3.19,4.159,-0.192,7.058
z22,1.226,0.648,1.215,-0.865,1.694,1.275,2.554,2.02,3.054,0.094,6.724
z23,2.133,-0.684,0.89,-1.014,2.9,2.02,3.98,3.124,3.5,-0.079,6.706
z24,1.053,0.663,0.543,-1.694,3.003,1.98,2.419,2.989,3.508,-0.361,7.263
z25,0.842,-0.058,0.974,-0.494,2.295,1.552,2.558,2.533,1.571,0.388,6.158
z26,1.878,0.283,0.831,-0.643,2.502,2.029,3.273,3.089,3.369,-0.394,5.653
z27,1.641,0.532,1.473,-0.448,2.638,1.28,3.809,1.535,3.17,0.564,6.393
z28,2.586,0.14,0.892,0.176,2.676,2.083,3.889,3.766,2.474,-0.227,7.233
z29,1.364,0.201,1.064,-0.775,2.45,1.718,3.483,1.774,3.207,-0.333,5.865
z30,0.626,0.576,1.17,-0.117,3.013,2.686,3.908,3.045,2.331,-0.413,6.99
